torwards_ocean,along_beach,north,south,east,west
2,2,9,6,14,31
2,4,54,88,43,2
2,6,74,31,55,157
2,8,40,40,37,72
2,10,19,45,36,82
4,2,7,11,4,7
4,4,48,0,119,16
4,6,133,90,134,80
4,8,48,66,99,55
4,10,37,13,56,63
6,2,35,13,34,6
6,4,33,143,40,47
6,6,36,67,44,9
6,8,27,0,10,15
6,10,68,43,78,8
8,2,56,6,80,32
8,4,2,6,2,78
8,6,32,18,67,109
8,8,22,85,145,95
8,10,21,6,24,51
10,2,108,0,19,26
10,4,53,5,0,8
10,6,35,103,29,62
10,8,26,32,97,43
10,10,17,59,39,24
0,2,6,23,18,36
0,4,50,52,36,0
0,6,3,39,35,40
0,8,15,6,153,52
0,10,85,117,60,125
1,2,27,12,32,56
1,4,16,23,30,2
1,6,13,0,5,22
1,8,45,15,12,17
1,10,17,150,30,125
2,2,9,6,14,31
2,4,7,11,4,7
2,6,35,13,34,6
2,8,56,6,80,32
2,10,108,0,19,26
3,2,70,25,42,75
3,4,42,5,47,8
3,6,48,44,52,1
3,8,41,25,38,0
3,10,80,175,84,102
4,2,54,88,43,2
4,4,48,0,119,16
4,6,33,143,40,47
4,8,2,6,2,73
4,10,53,5,0,8
6,2,74,31,134,80
6,4,133,90,37,72
6,6,36,67,44,9
6,8,32,18,67,109
6,10,35,103,29,62
8,2,40,40,37,72
8,4,48,66,29,53
8,6,27,0,10,15
8,8,22,85,145,95
8,10,26,32,97,43
9,2,18,17,12,0
9,4,27,4,10,24
9,6,0,26,0,9
9,8,10,40,16,54
9,10,72,0,66,17
10,2,19,45,36,82
10,4,37,13,56,63
10,6,68,43,78,8
10,8,2,6,24,51
10,10,17,59,39,24
